run_number,subrun_number,event_number
5343,23,1179
5169,160,8049
5169,163,8193
5171,70,3510
5262,180,9047
5365,4,236
4986,46,2343
5261,10,542
5217,4,206
5102,43,2200
5171,26,1309
5151,186,9336
4971,48,2409
4971,48,2446
4971,51,2597
5151,116,5823
5155,146,7350
5153,19,952
5263,12,649
5233,73,3666
5339,63,3158
5361,210,10514
4983,19,995
5153,82,4143
4962,97,4862
4962,97,4895
5270,32,1631
4969,78,3913
5331,155,7795
5339,16,832
5339,17,873
5333,80,4037
5025,105,5293
5059,24,1204
5151,140,7037
5124,24,1239
5050,2,101
5049,28,1413
5051,1,68
5334,19,957
5334,21,1059
5025,36,1815
5049,74,3728
5201,33,1651
4977,5,286
4977,6,320
5235,74,3735
5195,24,1206
5195,26,1345
5029,139,6959
5051,4,224
5227,18,920
5013,106,5312
5034,9,482
5075,4,208
4957,55,2773
4957,56,2846
4992,47,2373
5051,71,3552
5262,174,8719
5331,21,1100
5233,99,4986
5233,99,4989
5134,35,1751
5134,35,1796
5177,20,1038
5169,6,314
5263,14,721
4967,1,70
5214,61,3089
5019,76,3838
5041,28,1425
5108,33,1684
5071,46,2309
5280,20,1013
5280,12,610
5092,83,4173
5331,172,8641
5108,41,2093
5157,16,820
5207,1,58
4998,143,7181
4969,39,1976
4979,22,1119
5001,56,2840
4978,14,732
5229,80,4032
5055,18,922
5013,19,980
5262,185,9271
5147,58,2905
5190,31,1571
4982,2,104
4982,3,166
5031,7,396
4955,5,288
5281,34,1732
5281,34,1748
5281,37,1859
4992,133,6670
5042,7,387
5201,52,2645
5201,109,5476
5013,136,6815
4954,14,708
4954,17,865
5005,31,1594
5262,31,1591
5268,11,556
5087,13,686
5001,44,2205
5151,193,9684
5332,32,1645
4992,10,533
5010,10,534
5263,21,1086
5333,88,4440
5005,66,3322
5146,47,2397
5092,143,7163
5151,86,4335
5084,79,3970
5005,68,3418
5227,28,1430
5203,10,549
5203,11,570
5213,1,62
5213,3,186
4962,93,4694
4962,94,4734
4962,96,4811
4953,3,170
5060,23,1163
5331,45,2260
5280,98,4912
5127,135,6789
5144,8,430
5169,141,7090
5075,56,2839
5025,41,2081
5025,42,2139
4971,182,9103
5092,58,2923
5347,1,63
4992,97,4872
5187,205,10268
