run_number,subrun_number,event_number
17415,37,1875
17415,68,3429
17484,213,10674
17407,94,4709
17552,105,5275
17646,101,5087
17475,55,2755
17457,134,6702
17611,30,1549
17511,22,1114
17541,47,2373
17611,3,156
17620,80,4044
17471,96,4843
17594,116,5819
17475,184,9208
17475,193,9666
17671,25,1285
17352,281,14051
17494,82,4109
17493,78,3906
17572,12,631
17602,7,351
17591,17,890
17667,177,8862
17475,132,6624
17514,106,5320
17667,268,13402
17661,18,931
17597,20,1018
17497,33,1676
17497,33,1692
17561,212,10608
17498,1,99
17449,16,848
17482,47,2400
17470,167,8364
17635,0,9
17367,148,7424
17367,152,7628
17637,113,5695
17360,106,5340
17583,0,14
17414,21,1069
17414,21,1079
17410,7,352
17635,297,14860
17631,101,5075
17524,189,9468
17524,227,11396
17549,5,285
17530,146,7334
17361,293,14669
17361,184,9247
17355,107,5387
17641,103,5161
17658,13,658
17658,21,1084
17352,73,3661
17494,26,1313
17662,96,4807
17371,29,1481
17364,28,1448
17592,77,3861
17621,24,1209
17459,67,3389
17440,32,1621
17575,33,1660
17491,39,1966
17470,166,8332
17635,247,12382
17524,163,8195
17489,226,11347
17453,12,630
17630,87,4358
17637,2,114
17666,238,11932
17358,47,2392
17448,117,5899
17448,35,1796
17383,419,20999
17633,10,505
17633,10,526
17503,241,12082
17597,10,532
17407,88,4442
17487,41,2079
17478,103,5182
17371,97,4874
17489,203,10154
17655,37,1856
17383,484,24212
17503,197,9866
17460,2,112
17460,50,2544
17413,310,15505
17371,46,2348
17371,511,25576
17560,37,1867
17560,114,5734
17478,122,6121
17667,128,6409
17526,24,1238
17611,69,3465
17371,23,1157
17488,30,1537
17406,2,116
17530,85,4254
17414,112,5640
17495,164,8211
17601,18,920
17635,241,12066
17635,241,12082
17523,18,925
17488,174,8720
17621,49,2465
17478,56,2815
17631,94,4726
17474,51,2581
17561,156,7844
17383,240,12029
17413,280,14045
17407,152,7607
17658,16,821
17535,42,2150
17492,76,3820
17449,5,272
17471,81,4055
17383,292,14640
17556,10,545
17356,213,10685
17482,190,9533
17352,96,4805
17352,312,15605
17478,71,3600
17534,30,1531
17517,232,11650
17534,7,371
17560,137,6858
17366,44,2232
17366,54,2738
17361,196,9808
17361,263,13171
17386,2,144
17415,193,9696
17415,220,11048
17494,50,2532
17494,150,7525
17596,59,2969
17592,92,4605
17592,150,7519
17666,59,2996
17475,113,5662
17352,187,9372
17478,164,8233
17552,4,246
17658,45,2288
17493,300,15012
17493,300,15015
17383,79,3975
17540,16,849
17666,215,10772
17505,144,7240
17457,170,8508
17611,94,4720
17606,17,866
17606,17,892
17592,169,8467
17351,29,1472
17460,21,1084
17568,24,1225
17444,25,1278
17567,41,2067
17524,307,15364
17351,3,176
17566,91,4586
17471,7,397
17488,25,1271
17488,211,10572
17524,301,15097
17482,29,1459
17620,241,12075
17620,35,1768
17614,4,233
17559,9,495
17413,207,10373
17603,7,391
17557,103,5181
17572,3,200
17360,71,3585
17569,37,1882
17569,37,1894
17655,391,19552
17655,391,19594
17545,28,1434
17564,12,632
17589,26,1324
17530,31,1560
17413,262,13108
17413,366,18317
17589,11,570
17606,4,226
17352,10,510
17352,10,515
17641,8,428
17352,308,15429
17355,29,1454
17474,83,4159
17447,127,6355
17584,12,620
17493,225,11283
17666,55,2760
17389,70,3550
17505,74,3745
17383,385,19292
17522,77,3888
17536,9,470
17503,155,7785
17646,65,3269
17671,79,3990
17671,79,3996
17401,19,970
17657,9,475
17646,4,212
17397,80,4043
17480,7,377
17407,60,3017
17550,1,69
17603,35,1764
17560,94,4745
17458,152,7645
17458,157,7873
17552,46,2327
17371,403,20185
17607,101,5065
17444,6,317
17444,54,2722
15318,199,10000
17655,55,2780
17444,17,882
17528,18,932
17373,78,3911
17373,118,5950
17524,84,4212
17601,49,2476
17355,59,2966
17506,90,4548
17488,332,16632
17503,104,5205
17667,228,11401
17496,53,2680
17559,114,5739
17571,1,67
17371,117,5893
17482,21,1087
17482,165,8294
17489,145,7251
17489,255,12753
17371,233,11655
17440,28,1417
17371,110,5544
17524,240,12035
17373,202,10118
17470,70,3534
17618,4,237
17631,39,1951
17636,2,106
17383,86,4321
17556,117,5886
17489,284,14207
17630,48,2419
17630,74,3715
17573,104,5203
17458,6,314
17661,50,2532
17612,23,1159
17373,7,353
17373,75,3770
17496,21,1067
17402,10,528
17575,42,2145
17614,186,9324
17352,186,9310
17526,19,970
17474,16,834
17506,69,3486
17620,237,11881
17646,1,90
17646,34,1707
17555,7,353
17597,12,639
17662,94,4703
17597,0,50
17556,4,234
17475,156,7810
18953,523,26165
17686,165,8287
17686,267,13370
16041,233,11675
16864,249,12484
16864,270,13545
16274,45,2281
16858,96,4806
14603,22,1124
14439,3,190
15589,183,9183
16978,388,19426
18740,38,1923
17861,398,19936
15930,531,26593
18510,71,3569
14609,77,3857
15231,123,6197
15933,68,3448
15933,146,7318
14611,49,2475
14611,83,4173
18492,475,23769
14831,288,14436
15099,100,5034
15762,372,18650
15634,306,15324
15827,34,1743
16091,14,747
16171,7,365
18692,453,22674
16839,86,4331
16839,130,6522
16346,148,7413
16236,4,241
17985,88,4426
18929,182,9115
14746,198,9931
15969,520,26011
15792,84,4249
15596,68,3439
14577,39,1974
16052,354,17726
14290,291,14554
16836,236,11848
17675,63,3200
17675,110,5504
18767,8,436
16549,4,236
16877,2,106
16877,70,3534
16094,68,3445
16094,137,6880
17002,56,2820
17784,13,692
18035,179,8990
16504,60,3031
14329,56,2816
14329,148,7407
17689,88,4447
14223,8,438
14357,44,2219
18628,21,1088
15249,106,5330
15981,475,23764
17023,71,3583
17023,254,12709
15989,395,19760
18032,11,586
16150,380,19003
17753,147,7396
17065,148,7425
17065,177,8893
16317,134,6738
18631,114,5710
15113,118,5927
16874,93,4699
15969,375,18770
17834,24,1219
14156,22,1112
18210,84,4225
18663,92,4638
17824,44,2206
16711,38,1944
14529,10,512
14592,84,4230
18615,240,12019
18615,345,17268
16816,22,1134
16816,47,2378
18001,10,515
16776,262,13129
17693,43,2177
16904,20,1013
18238,34,1719
17780,0,35
16834,54,2706
16254,10,527
14771,86,4330
14771,203,10179
17695,215,10759
17695,215,10786
15859,162,8127
18933,109,5479
16519,12,640
15875,225,11266
15589,153,7656
16840,37,1851
18644,10,503
14436,283,14171
14436,292,14647
17990,373,18674
15981,358,17907
14555,112,5638
17790,10,538
17041,16,814
15933,16,814
16923,242,12124
14915,184,9240
15873,168,8410
18697,156,7824
15981,190,9547
16280,24,1227
17028,251,12552
15396,137,6888
16186,252,12645
17327,16,807
16499,208,10436
16499,247,12392
15593,73,3656
14814,163,8196
16803,21,1075
16122,495,24781
15901,57,2861
16414,4,242
17070,144,7239
17070,184,9243
18724,42,2113
16258,67,3355
15921,47,2378
16802,213,10686
16802,362,18113
15961,10,546
16975,97,4857
18540,22,1140
15161,46,2316
14637,82,4146
18499,151,7565
17213,83,4176
18659,73,3673
17985,1,52
