run_number,subrun_number,event_number
17482,191,9599
14877,208,10418
14877,208,10444
17132,529,26479
17237,337,16865
17100,59,2993
17199,139,6963
15014,86,4321
17391,22,1116
17391,40,2042
17391,40,2046
15152,26,1337
15152,31,1574
17371,298,14923
17139,205,10255
17139,239,11960
17339,297,14851
17339,297,14893
17122,37,1875
17099,49,2459
17206,369,18483
17106,25,1294
17249,189,9470
17249,244,12233
17249,269,13457
17226,157,7863
17231,12,628
17231,41,2092
15222,69,3463
17205,10,532
17205,93,4684
17235,33,1668
17235,64,3227
17361,19,991
17361,323,16181
17083,8,443
17126,50,2547
17126,145,7285
15167,168,8409
15115,160,8010
17097,6,343
17453,11,583
14971,78,3928
14971,109,5476
14882,89,4473
17307,26,1301
17358,53,2696
17488,174,8720
15145,184,9217
15145,286,14311
15145,292,14625
17524,149,7471
17337,21,1089
17337,38,1925
17413,171,8567
17413,318,15926
17557,60,3022
17557,136,6834
17256,30,1505
17256,90,4519
17152,36,1816
17152,91,4556
17364,37,1896
17448,34,1715
17448,178,8948
17158,62,3120
17308,33,1659
17308,72,3634
15115,57,2880
17100,179,8958
17100,179,8996
17466,5,267
17383,483,24165
17440,90,4536
17517,143,7196
17158,22,1139
17158,24,1236
15222,68,3429
15222,112,5608
15222,84,4231
15222,191,9587
15125,178,8944
15135,27,1386
17217,122,6143
17280,57,2887
17280,60,3022
17352,119,5975
17352,193,9664
17352,193,9698
17125,19,959
15122,65,3286
17240,406,20327
17165,96,4812
17237,139,6985
17139,298,14930
17070,70,3544
17070,97,4885
17070,173,8686
15154,290,14502
15170,48,2439
15170,74,3717
15170,74,3743
17073,36,1841
17361,13,695
17169,133,6667
17240,497,24861
17185,103,5193
17084,2,115
17084,7,390
17084,19,988
17084,24,1238
15116,103,5188
15116,103,5191
17497,200,10029
15128,1,55
17257,75,3780
17530,1,69
17332,30,1505
15106,57,2894
14991,9,499
14991,100,5038
17083,73,3664
17070,15,794
17070,233,11667
17070,248,12442
15151,115,5757
15151,225,11280
15151,225,11289
17333,25,1288
17239,44,2224
15160,393,19682
17114,155,7790
17203,87,4388
17365,112,5606
17341,61,3062
17174,19,993
17174,26,1331
17174,38,1916
17339,87,4393
17303,79,3988
17134,39,1959
17383,162,8143
17555,5,271
17268,7,361
17206,404,20219
17208,189,9474
17186,64,3237
17383,11,551
15057,48,2402
15057,126,6309
17467,74,3705
17467,77,3888
17356,103,5155
17356,103,5162
17356,157,7882
17358,7,371
15166,103,5177
14991,12,611
15166,289,14488
15166,310,15537
15114,137,6898
17282,42,2120
17282,74,3703
17336,32,1627
15160,214,10704
15151,2,123
17119,11,571
17119,78,3930
17413,208,10403
17103,3,161
17301,66,3327
17140,124,6209
17119,29,1491
15161,97,4864
15125,20,1013
17218,6,344
17218,40,2029
17556,140,7021
17100,214,10736
15047,3,151
15047,4,219
17249,64,3205
15182,62,3144
15182,90,4536
15061,254,12701
17267,82,4130
17237,366,18331
15014,234,11711
15160,144,7233
17251,36,1846
17080,78,3930
17114,33,1686
17114,103,5155
17560,77,3875
17240,355,17790
17338,3,193
17338,89,4463
17349,54,2722
17210,21,1080
15166,166,8319
17550,0,20
17550,2,147
17364,153,7691
17095,17,899
17095,85,4288
15140,152,7611
14810,7,355
14810,9,485
14810,22,1141
17482,67,3359
17482,187,9391
17361,230,11501
17257,14,729
17238,28,1439
14882,30,1533
14882,50,2507
14882,158,7939
17070,270,13529
17543,8,414
15145,91,4563
15145,91,4574
15145,158,7913
17116,126,6322
17116,126,6341
17193,23,1172
17073,117,5857
15117,147,7393
17235,75,3752
17497,41,2074
17308,153,7690
17239,186,9327
17239,267,13389
17488,44,2247
17250,29,1453
17193,27,1359
17193,35,1760
17193,47,2373
17503,246,12340
17426,11,555
17235,4,228
17235,47,2368
17451,282,14108
17157,7,359
17157,25,1263
17341,99,4980
17237,96,4819
17237,96,4846
17524,55,2782
17540,10,507
17540,32,1626
14802,17,858
14802,194,9702
14802,194,9747
17205,218,10905
15136,144,7221
14901,252,12628
17358,10,527
17358,55,2797
17178,8,414
17178,30,1503
17178,41,2088
17204,197,9866
17143,6,308
14831,10,518
14831,177,8890
15172,31,1580
14831,78,3913
15129,41,2079
15154,255,12789
17358,9,488
17199,92,4622
17418,29,1494
17418,40,2044
17448,189,9484
17352,60,3041
17506,12,635
15121,2,110
15121,4,221
15117,74,3726
15117,86,4329
17239,277,13894
17080,42,2110
17080,42,2122
17093,68,3402
17237,306,15349
17383,310,15545
17383,511,25595
17250,116,5848
17302,113,5683
17079,5,296
17475,130,6542
17484,40,2021
17112,49,2482
17112,100,5001
17112,100,5031
15222,30,1543
17502,51,2585
17502,64,3244
17475,0,17
17210,69,3481
17266,5,294
17132,110,5512
17237,408,20437
17534,139,6998
17447,40,2001
17447,40,2009
17543,17,890
14802,269,13454
14802,269,13496
17312,103,5153
17312,181,9071
17312,181,9099
17544,12,608
17544,19,979
17132,54,2716
17162,169,8485
17383,477,23876
17228,45,2267
17228,86,4322
17228,91,4576
17370,4,204
17240,16,806
14877,82,4108
17313,68,3431
15138,48,2409
15138,64,3216
17453,28,1401
17070,186,9310
14912,186,9314
17169,51,2594
17169,303,15194
17389,3,180
17458,44,2225
17386,1,82
17199,25,1263
17364,73,3693
17355,63,3197
14802,166,8313
15149,32,1608
15149,35,1778
17270,39,1996
14831,75,3799
14831,132,6621
17077,157,7889
17111,208,10428
17482,8,413
17240,386,19315
15166,7,361
17118,36,1847
17307,34,1745
17307,109,5465
15133,49,2473
17349,9,493
17349,41,2096
15017,62,3149
17140,72,3612
17325,0,39
15179,105,5265
15179,156,7835
17265,43,2191
17369,15,774
15116,168,8404
17328,45,2290
17162,51,2554
17162,56,2823
17162,56,2835
17181,9,483
17181,19,981
17181,69,3490
17206,134,6729
17174,21,1089
15149,77,3891
15133,22,1138
17196,11,564
17267,56,2838
15136,19,982
15136,96,4846
17415,286,14313
17415,286,14315
15128,182,9123
15128,182,9144
17559,16,801
15097,217,10869
17267,98,4933
15122,189,9469
17108,38,1943
15013,281,14096
14986,186,9326
17067,5,295
17067,48,2436
17101,30,1547
17101,70,3542
17267,103,5197
15116,82,4119
17451,202,10131
17373,18,909
17371,416,20822
17489,160,8010
17489,221,11059
17087,123,6153
17524,305,15265
17407,118,5945
17164,99,4977
17406,12,601
17406,116,5815
17313,143,7158
17208,237,11887
17208,238,11933
17208,255,12766
14801,12,640
14801,93,4669
14801,253,12663
15182,26,1325
15182,145,7269
17100,53,2677
17100,219,10967
17100,223,11198
15116,224,11245
14877,122,6125
15222,71,3593
17312,234,11745
17524,235,11799
17271,156,7811
17448,48,2412
17373,45,2294
17323,12,608
17371,17,889
17371,23,1158
17371,193,9672
17079,17,882
14971,15,757
14971,42,2123
14971,42,2134
17524,27,1354
17100,170,8521
15160,163,8152
17311,12,603
17448,25,1252
17232,66,3329
15103,140,7011
15103,140,7028
17400,201,10057
17287,60,3037
17287,162,8109
17249,342,17140
17401,17,863
17137,59,2982
17137,199,9962
15166,82,4113
15166,269,13495
17087,325,16268
17090,17,861
17090,26,1343
15140,83,4152
17214,13,691
17214,13,692
17443,0,33
17443,12,642
17443,13,656
17413,197,9896
17524,303,15171
17132,530,26522
14801,55,2766
14801,55,2788
17447,5,284
15147,39,1961
17356,65,3296
17139,44,2241
17354,52,2610
17354,52,2637
17354,60,3023
15097,10,540
15097,10,549
17328,116,5850
15014,167,8398
15014,219,10982
15014,219,10986
15014,239,11997
17114,76,3817
17371,45,2272
17379,9,456
17379,18,921
15124,50,2538
17099,75,3754
17365,60,3038
17308,63,3194
17494,100,5043
17494,289,14456
17492,4,235
17492,58,2905
17328,82,4106
17475,61,3088
17475,116,5847
17482,230,11512
17132,385,19252
17481,2,132
15182,3,200
15182,7,355
15182,75,3781
15182,140,7016
15097,129,6473
17469,3,173
17312,136,6804
17312,136,6843
17312,243,12187
17383,0,45
17451,237,11867
15001,10,540
17257,92,4631
17559,97,4868
17505,97,4895
17505,115,5752
17352,116,5807
17147,6,322
17521,13,662
17521,64,3225
17396,4,249
17168,53,2664
17080,40,2012
17080,41,2055
17414,151,7556
17240,464,23228
17109,102,5102
15103,82,4107
15103,82,4118
15172,11,574
15172,47,2394
15172,64,3232
15172,64,3233
15111,113,5686
17209,18,919
17057,0,47
17304,35,1799
17304,44,2207
17304,59,2979
17397,65,3293
17356,75,3779
17356,75,3799
17408,5,276
17408,5,277
17132,390,19532
17137,178,8926
17242,30,1527
17356,212,10642
17240,15,755
17356,15,753
17356,170,8510
17132,24,1201
17195,27,1394
17243,79,3987
14897,151,7593
15140,32,1630
17210,144,7214
17210,238,11935
17100,24,1239
17100,48,2412
17407,3,154
17407,66,3343
17407,79,3958
15097,119,5989
15097,173,8681
17271,158,7916
17135,21,1053
17135,21,1090
17135,35,1790
17135,51,2571
17065,174,8704
17210,16,805
17210,16,810
17210,169,8489
15162,113,5670
17089,110,5518
17251,66,3321
17249,116,5813
17365,31,1578
17365,49,2479
17365,49,2489
15114,56,2802
17231,64,3224
15102,91,4556
15102,91,4564
14938,173,8668
15170,32,1639
15170,108,5403
17141,39,1989
17489,89,4453
17489,216,10848
15161,11,600
15161,91,4575
17371,307,15393
17408,23,1186
17240,19,975
15116,135,6780
15116,278,13904
17457,101,5063
17502,15,757
17502,35,1759
17502,58,2913
17364,8,424
17364,95,4752
17110,8,403
15099,149,7456
17415,34,1704
17415,285,14280
15061,76,3829
15061,209,10454
15061,255,12763
15128,124,6226
15128,124,6246
17364,44,2203
15120,25,1279
15120,25,1282
17134,52,2641
15163,8,437
15054,97,4861
15017,25,1277
15017,25,1295
14824,18,925
17314,60,3002
14968,6,315
17361,367,18395
17561,43,2166
17561,199,9989
14968,16,822
17181,99,4992
15013,303,15182
17135,27,1374
17135,27,1388
17135,49,2452
17075,18,918
15167,50,2501
15167,111,5567
15167,111,5589
17327,100,5029
15017,112,5627
17427,1,80
17339,196,9823
17339,244,12207
17522,66,3334
17240,249,12453
17280,43,2167
17280,49,2460
17494,2,149
17494,269,13481
14901,31,1556
14901,70,3517
17101,42,2129
17101,58,2938
17240,2,127
14877,72,3638
14877,105,5292
14877,155,7784
14877,169,8472
17240,102,5127
17530,38,1930
17530,127,6369
17111,25,1291
17194,25,1261
17194,39,1995
17352,304,15241
15163,73,3683
15163,73,3698
15111,270,13546
17552,199,9980
17373,161,8078
17530,26,1301
17530,26,1302
17240,97,4855
17489,158,7938
15156,4,233
15156,68,3414
17206,406,20318
17352,244,12229
17352,244,12234
17352,244,12248
17251,7,370
17251,194,9724
15061,240,12049
15145,69,3464
15145,171,8571
15014,27,1360
15014,73,3664
17383,513,25665
17098,54,2726
17098,54,2735
14824,232,11606
17422,21,1088
17334,64,3217
17334,64,3225
17334,65,3269
17092,6,323
17257,25,1288
17213,44,2202
17169,288,14401
17552,249,12485
17316,10,520
17316,10,527
17356,80,4050
17356,184,9247
17498,19,956
17242,61,3060
15098,77,3880
14828,116,5809
15160,360,18025
15154,225,11257
17136,36,1805
17136,64,3248
17144,106,5336
17144,114,5737
17190,21,1088
17190,23,1175
17177,13,680
17204,53,2662
17419,1,91
17352,138,6944
17240,405,20254
17240,405,20290
17240,475,23766
17240,475,23796
17306,101,5081
17495,182,9121
17495,182,9143
15102,22,1120
15102,32,1628
15102,34,1707
15102,34,1710
17440,85,4286
15103,50,2517
17414,66,3306
15128,113,5681
15128,198,9935
17373,68,3450
17228,7,362
17139,186,9321
17476,66,3304
14801,227,11376
15129,19,978
17328,2,111
17210,239,11990
17155,183,9152
15149,106,5350
17361,196,9838
17361,263,13175
17306,11,585
17306,114,5701
17530,37,1852
15097,105,5292
14831,98,4903
15086,53,2673
15086,53,2698
17150,27,1371
17150,35,1781
17144,44,2234
15161,224,11217
17400,6,306
17400,10,528
17550,75,3751
17494,118,5913
17494,118,5916
17494,267,13395
15125,14,704
15125,124,6201
17335,2,147
17335,52,2610
17335,111,5589
17103,10,508
17103,18,926
17219,79,3996
17100,257,12869
17100,263,13165
17208,216,10813
17307,30,1519
17307,30,1534
17364,13,676
17364,68,3412
17354,26,1335
17354,35,1782
17459,36,1814
17168,39,1984
17168,40,2050
15136,77,3860
15136,100,5011
17471,29,1474
17326,1,77
17070,38,1913
17168,76,3807
15113,42,2125
17514,0,22
17459,39,1981
17530,114,5731
17361,222,11138
17361,255,12753
17401,100,5001
17095,23,1192
17095,112,5602
17095,114,5729
15154,93,4694
17338,100,5033
17338,102,5118
17205,35,1780
17205,129,6488
14986,171,8557
17237,202,10107
17413,117,5857
17137,86,4309
17121,18,923
17144,133,6665
15097,149,7460
17302,35,1791
17452,6,301
17452,6,327
17495,44,2211
14831,235,11768
17487,39,1998
17172,59,2984
17204,36,1827
17270,51,2596
15179,58,2942
17132,474,23712
17493,38,1940
17493,279,13957
17451,249,12460
17524,260,13007
17067,47,2351
17067,47,2386
17482,47,2368
17482,170,8516
17434,9,474
17434,45,2252
17138,35,1751
17444,6,317
17451,27,1398
15155,68,3412
15155,68,3441
17307,5,267
17218,16,834
17522,162,8137
15098,12,619
17406,78,3913
17219,90,4536
17394,105,5288
17394,194,9736
17559,37,1865
17559,38,1908
17317,5,254
15166,238,11948
15166,277,13869
17361,295,14769
17408,50,2525
17408,50,2537
17408,76,3821
17408,76,3838
14971,134,6703
17102,9,462
17237,248,12450
17237,406,20304
17237,406,20340
15093,63,3178
17209,5,300
17209,54,2706
17209,54,2722
17217,110,5525
14901,299,14986
17281,4,215
17459,167,8375
17337,68,3405
17444,88,4412
17232,38,1933
17171,10,511
17196,59,2952
17171,46,2330
17308,27,1393
17484,134,6717
17070,229,11477
17458,35,1783
17458,35,1789
17503,69,3486
17556,133,6689
17341,155,7789
15017,192,9627
17210,104,5236
17469,87,4377
17326,26,1311
17532,9,488
14882,145,7295
17447,54,2749
17447,86,4333
15111,146,7303
17132,99,4951
17132,252,12607
17165,14,717
17415,21,1064
17415,104,5219
17158,60,3014
17400,44,2237
17400,87,4367
17098,42,2125
17309,0,27
17309,64,3229
17309,79,3963
17301,13,671
17301,67,3378
15145,313,15693
17469,67,3355
17224,37,1895
15117,99,4956
17353,34,1720
17159,24,1214
17237,313,15668
17070,14,717
17169,45,2300
17089,54,2711
17089,76,3821
17089,122,6143
14801,70,3547
17337,35,1787
15116,232,11615
17179,1,90
17561,223,11194
17322,15,756
17322,42,2128
17550,48,2420
17331,21,1059
15097,146,7317
17138,116,5810
17271,105,5278
17208,223,11167
17372,87,4393
17111,15,775
17111,160,8050
17341,137,6855
17077,78,3935
17077,176,8806
17101,6,303
17101,78,3930
17338,16,845
17065,109,5462
17092,23,1164
15152,42,2126
17251,143,7179
17398,10,544
17398,141,7081
17398,209,10452
17371,237,11856
17371,440,22011
17199,87,4371
17239,184,9213
17361,4,206
17361,275,13778
15115,42,2134
17482,200,10001
15086,0,31
15086,8,446
17091,59,2954
17091,62,3104
17366,12,623
17413,66,3316
17208,7,372
17249,314,15732
15145,287,14378
15151,106,5344
17093,49,2487
17093,128,6446
17198,85,4256
17488,123,6187
17488,280,14043
17401,29,1484
17415,132,6650
17249,266,13316
17249,271,13566
15122,200,10028
17361,26,1324
17361,216,10807
