run_number,subrun_number,event_number
16336,94,4742
16336,102,5121
18915,197,9859
15514,139,6974
16949,53,2679
16851,292,14621
15901,269,13500
18623,31,1553
18233,176,8819
18676,400,20034
15930,444,22218
15316,226,11334
15316,226,11341
18062,117,5858
18062,250,12527
17048,64,3224
15640,210,10507
17865,392,19623
16065,45,2278
16065,55,2770
17035,21,1100
15397,92,4638
15893,62,3112
17009,10,531
15283,40,2050
16583,237,11872
16797,17,858
15713,55,2794
15713,75,3776
15713,75,3788
18577,44,2206
18246,33,1672
16963,221,11052
16038,74,3718
16038,160,8029
18226,226,11339
18007,155,7764
15966,20,1033
16096,83,4155
15273,49,2494
16067,94,4727
16067,102,5119
16067,136,6830
18685,24,1234
18685,128,6422
16923,332,16616
17865,274,13740
14161,78,3943
18007,29,1456
18007,107,5381
15774,204,10212
18923,215,10774
16179,4,205
16110,29,1498
16172,102,5130
18863,166,8334
16379,40,2025
16809,225,11269
16147,177,8884
16426,38,1917
15920,92,4610
16515,0,50
15262,162,8133
15254,68,3434
15915,181,9071
18761,85,4289
15917,210,10524
14127,241,12092
15436,284,14234
18242,188,9429
16158,360,18008
18577,142,7143
15933,267,13359
15940,133,6685
15940,250,12505
18779,476,23847
16965,119,5971
16889,97,4859
16889,125,6280
15954,273,13658
17861,190,9536
18519,65,3258
15882,51,2558
15403,127,6359
15593,217,10891
17046,57,2863
16312,201,10067
16312,273,13664
16586,19,997
16846,126,6327
15262,92,4605
15262,93,4657
17019,78,3914
16051,67,3382
18238,34,1713
15875,84,4202
15983,220,11007
18665,404,20219
16453,131,6582
15554,1,72
15554,42,2101
15909,243,12178
16283,80,4022
18050,17,900
15348,44,2224
16884,34,1708
15447,105,5262
18760,72,3646
14157,11,586
15422,4,229
18779,179,8990
18779,446,22330
16043,52,2615
16356,40,2010
16356,40,2011
16744,210,10519
18468,85,4294
16964,120,6012
15469,293,14668
16205,189,9479
15335,101,5065
15361,38,1915
15960,12,632
18937,98,4902
18685,202,10146
16486,14,707
18748,323,16197
16347,16,821
16347,19,959
15593,143,7172
18242,75,3777
14148,154,7737
18685,96,4828
16410,96,4817
16272,293,14686
15593,136,6833
15593,155,7754
18508,165,8265
15875,442,22133
18251,71,3578
14298,74,3731
16843,80,4005
16843,145,7265
18233,279,13998
16094,144,7216
16338,7,375
15939,136,6820
15969,364,18237
18615,15,764
18615,185,9299
15429,11,571
18754,51,2565
18874,191,9586
15901,70,3548
17023,192,9602
18732,387,19375
15875,49,2500
17028,15,763
15946,441,22078
18740,230,11528
14135,7,363
17056,321,16068
18685,111,5560
16491,20,1011
15348,228,11440
18732,87,4380
16964,41,2070
18677,234,11708
18760,10,538
16295,72,3618
16341,33,1686
16341,140,7024
18760,170,8530
15228,95,4766
15897,42,2109
16473,148,7421
16446,259,12998
18687,88,4436
18687,491,24591
15801,375,18794
18048,333,16672
16919,316,15850
18743,215,10755
18265,38,1923
18929,7,377
18268,54,2738
14186,124,6208
16581,87,4358
15361,157,7854
15917,509,25457
15917,509,25477
16544,39,1962
18796,29,1477
16088,6,319
16088,6,323
18225,448,22418
18862,411,20596
14186,227,11386
15308,91,4562
18511,171,8597
18910,187,9378
18245,87,4358
18245,87,4384
16842,72,3629
18272,154,7710
16499,324,16239
15981,75,3784
15713,206,10318
18719,159,7986
15323,86,4306
18512,206,10325
18764,93,4677
18740,34,1742
18732,475,23794
18922,240,12004
16869,33,1659
15851,134,6719
16744,270,13532
16759,224,11201
18283,3,175
16118,40,2011
15530,159,7991
18242,65,3282
17036,44,2248
16071,70,3527
16874,497,24895
17036,282,14116
15978,12,629
17004,153,7675
18756,35,1753
18771,39,1988
16458,39,1980
18933,204,10231
15422,1,87
15682,41,2067
15502,34,1748
16092,7,351
15801,530,26524
15862,216,10804
16071,41,2072
15931,71,3565
16110,102,5113
18619,292,14606
16557,93,4651
16557,158,7922
15928,20,1020
15928,62,3125
15928,105,5261
15634,259,12965
16440,106,5309
18926,73,3654
18034,77,3899
18233,269,13465
15246,39,1980
18515,141,7089
16944,31,1557
16944,106,5306
16008,399,19982
16147,385,19298
16175,87,4389
16107,141,7088
14122,33,1672
16586,16,827
15291,17,882
15291,286,14347
16203,79,3985
15511,21,1090
16965,327,16380
14159,110,5511
16847,37,1872
15295,50,2525
16317,118,5918
15640,168,8433
18645,35,1751
18639,181,9057
18903,73,3677
16060,142,7108
16060,193,9651
18760,130,6522
18760,130,6541
15593,14,731
16006,201,10096
18911,85,4283
16104,34,1720
15291,261,13076
18054,320,16006
16730,19,951
15282,131,6560
15243,16,824
16761,151,7592
16874,267,13373
16301,156,7843
15297,192,9601
14124,44,2241
18923,574,28750
14291,210,10505
16119,170,8513
15593,218,10923
18900,169,8457
15339,146,7307
18514,175,8776
15279,42,2142
15447,66,3302
18694,6,307
16890,193,9653
16890,193,9659
15774,91,4565
18903,105,5253
18048,386,19350
16089,257,12880
16089,257,12882
16352,416,20817
16379,107,5379
16379,232,11650
15316,62,3108
15316,237,11867
15339,2,131
15501,66,3326
16122,76,3812
16122,76,3814
16122,274,13727
16122,299,14990
16994,157,7897
18951,80,4015
18951,192,9649
18935,180,9029
16555,70,3538
18918,137,6898
15851,46,2315
16506,127,6385
16403,45,2282
16403,57,2895
16247,109,5484
16946,133,6686
15713,35,1771
15713,143,7160
18242,114,5741
18242,220,11044
16145,2,119
15917,316,15811
16437,114,5709
16437,181,9064
18574,154,7721
15330,88,4428
16692,11,574
16692,30,1502
16890,32,1638
18007,117,5873
15870,153,7696
15870,229,11471
15397,7,399
18690,116,5802
15231,122,6135
15231,123,6200
16317,6,334
16317,6,341
16250,75,3767
16923,159,7959
15875,223,11167
16008,307,15353
16008,307,15357
18957,140,7037
18615,48,2428
16557,125,6253
16825,26,1322
16514,71,3551
15943,3,166
18760,95,4765
15391,288,14436
15927,277,13884
18007,112,5631
18007,112,5647
15514,82,4139
15514,100,5040
14124,220,11050
18874,27,1383
16405,35,1754
18643,5,284
18519,60,3015
16158,124,6239
16158,334,16723
18492,60,3031
18492,122,6113
15713,141,7068
15713,141,7081
15946,268,13415
18947,183,9175
15676,65,3292
16119,270,13531
16119,291,14593
16446,241,12088
15464,167,8367
15464,263,13169
15318,180,9010
15296,258,12935
16901,110,5508
18795,263,13189
15510,29,1494
15510,30,1533
15510,32,1616
18499,135,6751
16021,300,15045
15640,98,4917
15640,223,11155
16052,103,5195
16565,2,119
16847,12,625
16586,29,1490
15484,25,1269
18238,326,16350
18760,1,63
16214,73,3661
15952,126,6308
15862,331,16552
