run_number,subrun_number,event_number
14716,85,4260
14985,22,1140
17556,66,3337
15529,240,12050
14279,297,14874
16817,23,1198
14936,2,129
14202,38,1917
17125,16,843
17125,49,2469
17043,109,5486
17228,49,2470
17228,49,2490
17228,51,2599
15878,17,860
14805,149,7460
16063,144,7236
15273,83,4163
15273,166,8337
14383,33,1682
14425,7,377
14425,162,8149
14712,118,5917
15246,74,3717
14556,77,3883
15422,112,5649
16935,82,4147
15801,108,5448
17532,11,597
15093,15,776
15093,15,786
16453,130,6518
16453,254,12723
16584,27,1397
15489,156,7810
17517,176,8848
14526,148,7415
17056,198,9933
16394,21,1092
16225,90,4533
16847,42,2145
16776,186,9305
16776,186,9337
14392,190,9520
14463,20,1028
16584,63,3168
16724,110,5540
15264,134,6741
14463,12,620
14463,169,8460
15516,94,4715
14556,304,15224
17534,132,6622
16992,39,1969
16992,59,2956
14257,195,9792
15355,44,2212
15355,44,2226
16301,81,4065
16301,135,6789
15061,153,7663
15061,153,7664
16290,76,3825
14884,24,1207
17193,33,1677
17137,104,5229
17523,32,1628
16117,82,4140
16888,465,23271
15410,42,2141
15967,46,2338
17391,17,879
14924,182,9111
16952,34,1718
14358,50,2550
16994,245,12252
16222,81,4082
17004,236,11822
15496,59,2974
17114,88,4424
14451,7,359
15486,181,9073
17023,235,11796
17504,31,1575
17504,31,1596
14611,3,163
16536,3,184
16536,94,4743
14569,47,2391
16858,64,3203
16858,105,5276
17453,45,2300
14558,252,12634
16720,105,5253
15479,222,11108
15927,89,4482
15133,11,589
15133,20,1036
17506,2,114
15923,309,15467
15504,18,936
17494,74,3707
16962,135,6782
14816,148,7446
16595,5,282
15590,316,15808
15960,88,4408
16683,45,2295
14452,70,3508
14452,119,5990
17195,116,5818
17458,132,6615
14549,84,4240
14965,132,6606
14369,116,5836
16685,156,7837
14261,22,1117
16038,95,4782
14556,22,1105
14888,23,1155
16453,230,11550
15949,25,1282
16008,169,8482
14866,10,508
14291,102,5105
14291,161,8075
14291,161,8094
14945,10,534
14945,24,1248
14410,105,5271
14878,121,6094
16888,88,4417
16080,48,2425
16087,23,1161
14917,39,1962
14702,1,69
14134,240,12013
14134,256,12847
15227,37,1858
16843,3,158
14814,144,7207
14998,199,9962
14998,204,10203
14468,0,42
16524,380,19018
14392,166,8344
16919,129,6451
16919,486,24302
14721,87,4356
14418,98,4946
14149,100,5050
14149,201,10068
