run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
6105,2,101,0.9332748055458069,0.0,1477.0
6105,2,124,0.9816799163818359,1.0,1497.0
6105,2,146,0.9864910840988159,2.0,2208.0
6105,64,3223,0.997965931892395,3.0,3391.0
6105,64,3240,0.8424825668334961,4.0,1362.0
6105,66,3336,0.9833958148956299,5.0,1888.0
6105,67,3353,0.9557728171348572,6.0,2919.0
6105,68,3423,0.005192465614527464,7.0,1114.0
6105,69,3496,0.9953639507293701,8.0,1080.0
6105,71,3590,0.7794393301010132,9.0,2471.0
6105,73,3658,0.9988930821418762,10.0,2354.0
6141,5,252,0.5101245045661926,11.0,2763.0
6141,5,261,0.9958631992340088,12.0,2763.0
6141,5,263,0.5658574104309082,13.0,1101.0
6141,5,267,0.605415403842926,14.0,2332.0
6141,6,323,0.9949638843536377,15.0,613.0
6141,6,330,0.9245588779449463,16.0,1703.0
6141,7,364,0.2571631968021393,17.0,1984.0
6141,9,451,0.567781925201416,18.0,1490.0
6141,9,496,0.9978976249694824,19.0,2918.0
6141,10,506,0.8577596545219421,20.0,2084.0
6141,10,547,0.8169188499450684,21.0,1456.0
6141,11,567,0.44979605078697205,22.0,655.0
6141,11,588,0.9987420439720154,23.0,2585.0
6141,11,594,0.9963377714157104,24.0,2378.0
6141,12,605,0.042804569005966187,25.0,617.0
6141,12,609,0.9865628480911255,26.0,3578.0
6141,12,633,0.9461283683776855,27.0,2067.0
6141,12,641,0.95786452293396,28.0,1634.0
6141,13,687,0.9745999574661255,29.0,3896.0
6120,0,14,0.9846808910369873,30.0,745.0
6120,0,21,0.8704127669334412,31.0,2601.0
6120,0,36,0.9767727255821228,32.0,1592.0
6120,2,109,0.8367300033569336,33.0,2090.0
6120,2,118,0.9988687634468079,34.0,1914.0
6120,3,158,0.9500029683113098,35.0,2114.0
6120,3,166,0.9949992895126343,36.0,4228.0
6120,3,196,0.9879344701766968,37.0,2502.0
6082,8,416,0.9042101502418518,38.0,1235.0
6082,8,430,0.9985260963439941,39.0,3361.0
6103,138,6903,0.021627431735396385,40.0,1439.0
6103,138,6937,0.002195302164182067,41.0,613.0
6103,138,6947,0.9898440837860107,42.0,2872.0
6103,140,7042,0.5017974376678467,43.0,1363.0
6103,140,7048,0.9619781374931335,44.0,1196.0
6103,141,7059,0.9550452828407288,45.0,3972.0
6103,141,7080,0.9974881410598755,46.0,1869.0
6103,142,7141,0.9932782053947449,47.0,2521.0
6103,145,7285,0.824217677116394,48.0,1436.0
6103,146,7331,0.9966983199119568,49.0,1538.0
6114,100,5022,0.9798678159713745,50.0,1417.0
6114,100,5025,0.6290798783302307,51.0,1556.0
6114,101,5072,0.981204628944397,52.0,1354.0
6114,101,5076,0.4269084334373474,53.0,1153.0
6114,101,5098,0.9389452338218689,54.0,1177.0
6114,103,5195,0.969556450843811,55.0,1229.0
6114,105,5294,0.9780901670455933,56.0,4010.0
6114,106,5333,0.983817994594574,57.0,1215.0
6114,107,5381,0.16630783677101135,58.0,434.0
6114,107,5392,0.9693933129310608,59.0,2333.0
6114,108,5408,0.1942058801651001,60.0,3990.0
6114,108,5422,0.9921143054962158,61.0,2488.0
6121,59,2956,0.6839615702629089,62.0,2080.0
6121,59,2958,0.5891972780227661,63.0,732.0
6121,59,2981,0.9351803660392761,64.0,2883.0
6121,60,3034,0.9440732002258301,65.0,1758.0
6121,60,3050,0.9983906745910645,66.0,2789.0
6121,62,3110,0.9947415590286255,67.0,2382.0
6121,62,3120,0.7740497589111328,68.0,1024.0
6121,63,3155,0.8743005990982056,69.0,2407.0
6121,66,3302,0.9981725215911865,70.0,1356.0
6121,66,3313,0.006060936953872442,71.0,492.0
6121,66,3331,0.9960340857505798,72.0,1696.0
6121,67,3388,0.9920936226844788,73.0,1626.0
6121,69,3493,0.8870764970779419,74.0,2325.0
6121,70,3508,0.0995163768529892,75.0,1735.0
6121,70,3529,0.38139480352401733,76.0,3220.0
6121,70,3538,0.6711789965629578,77.0,2893.0
6139,55,2790,0.9422022104263306,78.0,3630.0
6139,56,2834,0.005006005056202412,79.0,887.0
6139,56,2837,0.08939633518457413,80.0,3117.0
6139,57,2865,0.07356876879930496,81.0,1787.0
6139,57,2887,0.9969256520271301,82.0,2903.0
6139,58,2926,0.28037598729133606,83.0,1447.0
6139,58,2927,0.8555472493171692,84.0,1729.0
6139,58,2941,0.8431347608566284,85.0,3380.0
6139,59,2967,0.9798864722251892,86.0,1252.0
6139,59,2983,0.027467597275972366,87.0,3969.0
6139,59,2990,0.9972086548805237,88.0,2548.0
6139,59,3000,0.9083145260810852,89.0,3303.0
6139,60,3019,0.7038158774375916,90.0,2043.0
6139,60,3039,0.9350968599319458,91.0,1353.0
6139,61,3052,0.9989539384841919,92.0,2173.0
6139,62,3145,0.029779108241200447,93.0,762.0
6139,37,1884,0.9988871216773987,94.0,876.0
6125,27,1354,0.7319872379302979,95.0,1651.0
6125,27,1362,0.9248935580253601,96.0,878.0
6125,27,1400,0.9897485375404358,97.0,741.0
6125,31,1587,0.9560330510139465,98.0,2594.0
6125,35,1758,0.9883279204368591,99.0,2028.0
6125,35,1783,0.9790413975715637,100.0,1783.0
6125,39,1957,0.94278883934021,101.0,1297.0
