method,model,weight_file,input_file,mass_token,entry_number,n_pixels,plane,layer_name,occlusion_size,reason,base_signal_score,base_background_score,active_threshold,active_frac,topk_frac,overlap_topk_signal,overlap_topk_background,has_curves,sig_global_iou@0.01,sig_global_recall@0.01,sig_global_precision@0.01,sig_global_components@0.01,sig_activeonly_iou@0.01,sig_activeonly_recall@0.01,sig_activeonly_precision@0.01,bkg_global_iou@0.01,sig_attr_q99_on_active,sig_attr_max_on_active,sig_pos_frac_active,auc_insertion_signal,auc_deletion_signal,ins_sig_frac_to_90,del_sig_frac_to_50,meta_path
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,,2627,328,0,,4,A_high_tail,0.9814299941062927,0.019261065870523453,0.0,0.001251220703125,0.01,0.12170927127050744,0.12170927127050744,True,0.12129277566539924,0.9725609756097561,0.12170927127050744,7,0.009146341463414634,0.009146341463414634,1.0,0.12129277566539924,0.08459894657135023,0.1149645447731018,0.28353658536585363,0.9347293661907315,0.13122523669153452,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_2627__offbeam_meta_4.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,,2627,328,0,,8,A_high_tail,0.9814391732215881,0.019251545891165733,0.0,0.001251220703125,0.01,0.11827546737886303,0.11827546737886303,True,0.11746873815839333,0.9451219512195121,0.11827546737886303,7,0.009146341463414634,0.009146341463414634,1.0,0.11746873815839333,0.28464224696159385,0.4032837152481079,0.375,0.9390854336321354,0.10672836601734162,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_2627__offbeam_meta_8.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,3245,79,0,,16,A_high_tail,0.98243248462677,0.01785660721361637,0.0,0.000301361083984375,0.01,0.03014116749332316,0.03014116749332316,True,0.03014116749332316,1.0,0.03014116749332316,5,0.012658227848101266,0.012658227848101266,1.0,0.03014116749332316,0.9510976076126099,0.9510976076126099,0.9240506329113924,0.935751928575337,0.09550191964954138,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_3245__dirt_meta_16.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,3245,79,0,,2,A_high_tail,0.9824283719062805,0.01786087267100811,0.0,0.000301361083984375,0.01,0.03014116749332316,0.03014116749332316,True,0.03014116749332316,1.0,0.03014116749332316,5,0.012658227848101266,0.012658227848101266,1.0,0.03014116749332316,0.3506295084953308,0.3506295084953308,0.6962025316455697,0.9357471562922,0.09548527523875236,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_3245__dirt_meta_2.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,3245,79,0,,4,A_high_tail,0.98243248462677,0.01785660721361637,0.0,0.000301361083984375,0.01,0.03014116749332316,0.03014116749332316,True,0.03014116749332316,1.0,0.03014116749332316,5,0.012658227848101266,0.012658227848101266,1.0,0.03014116749332316,0.3756164312362671,0.3756164312362671,0.7848101265822784,0.935751928575337,0.09550191964954138,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_3245__dirt_meta_4.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,3245,79,0,,8,A_high_tail,0.9824283719062805,0.01786087267100811,0.0,0.000301361083984375,0.01,0.03014116749332316,0.03014116749332316,True,0.03014116749332316,1.0,0.03014116749332316,5,0.012658227848101266,0.012658227848101266,1.0,0.03014116749332316,0.9267973232269286,0.9324020743370056,0.8227848101265823,0.9357471562922,0.09548527523875236,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_3245__dirt_meta_8.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,439,1732,0,,16,A_high_tail,0.9857672452926636,0.014401160180568695,0.0,0.0066070556640625,0.01,0.6322014498283098,0.6322014498283098,True,0.6146142433234422,0.9566974595842956,0.6322014498283098,32,0.009815242494226328,0.009815242494226328,1.0,0.6146142433234422,0.4801735925674446,0.8661159873008728,0.8325635103926097,0.9383948750793935,0.08262667544186116,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_439__dirt_meta_16.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,439,1732,0,,2,A_high_tail,0.9857672452926636,0.014401160180568695,0.0,0.0066070556640625,0.01,0.6585272796642503,0.6585272796642503,True,0.6570232204035021,0.9965357967667436,0.6585272796642503,30,0.009815242494226328,0.009815242494226328,1.0,0.6570232204035021,0.04663174688816096,0.2669910192489624,0.754041570438799,0.9388842709362507,0.08822731506079436,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_439__dirt_meta_2.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,439,1732,0,,4,A_high_tail,0.9857672452926636,0.014401160180568695,0.0,0.0066070556640625,0.01,0.6562380770698206,0.6562380770698206,True,0.653247246486897,0.9930715935334873,0.6562380770698206,31,0.009815242494226328,0.009815242494226328,1.0,0.653247246486897,0.16449640095234058,0.6720196008682251,0.8140877598152425,0.9388350792229176,0.08656883090734482,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_439__dirt_meta_4.txt
occlusion,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_NuMI_dirt_larcv_cropped.root,,439,1732,0,,8,A_high_tail,0.9857672452926636,0.014401160180568695,0.0,0.0066070556640625,0.01,0.6497520030522701,0.6497520030522701,True,0.6426415094339623,0.983256351039261,0.6497520030522701,31,0.009815242494226328,0.009815242494226328,1.0,0.6426415094339623,0.20921409130096436,0.3911377787590027,0.8181293302540416,0.9386753268539906,0.08954066485166551,0.1,0.1,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_439__dirt_meta_8.txt
