run_number,subrun_number,event_number,signal_score,weight
15676,62,3125,0.0545680373907089,0.4580850005149841
14925,135,6763,0.0022153595928102,0.8105599880218506
15867,161,8059,0.0082745049148797,0.16498621293260382
15873,316,15803,0.0036393413320183,0.289328008890152
15828,529,26485,0.0025180492084473,1.0325700044631958
14342,199,9992,0.0028460624162107,0.5481250286102295
15777,75,3773,0.0047666504979133,1.120815199421301
15857,1,63,0.0028342916630208,1.2281908375990866
15782,11,573,0.009226462803781,1.433080932093361
15437,20,1006,0.0032680532895028,0.8731060028076172
17204,155,7784,0.0070376894436776,0.6522459983825684
15013,172,8611,0.0054266504012048,1.0213600397109983
15592,42,2136,0.0046963659115135,1.3370914263218197
15700,6,327,0.0037691125180572,0.9935020208358764
15700,8,419,0.0047758314758539,1.3290281278750624
15828,142,7140,0.0068465038202703,1.2557007313704107
15886,3,172,0.0098434360697865,1.0396599769592283
15892,32,1625,0.0036952260416001,0.9305769801139832
15892,32,1645,0.0017515285871922,0.9883540272712708
15521,1,66,0.0044297259300947,0.4547640085220337
15907,51,2592,0.002314020646736,0.9504899978637696
18923,124,6238,0.6743148565292358,0.7444999814033508
15491,26,1338,0.0042307842522859,1.2824128609479146
15473,7,389,0.3207150995731354,0.9842375744734824
15900,25,1278,0.0114030037075281,1.0324599742889404
18948,167,8393,0.0051190247759222,0.5319470167160034
15859,145,7263,0.0265803337097167,0.9931340217590332
15785,245,12269,0.089507944881916,0.7749013307290511
15762,267,13374,0.0035881244111806,0.9325940012931824
15762,295,14765,0.0026811133138835,0.9066830277442932
15590,62,3103,0.0031502051278948,1.0463900566101074
15783,195,9798,0.127103254199028,0.5741583084809782
15895,22,1127,0.004080313257873,1.3165500164031982
15715,45,2293,0.0062899701297283,0.6168408467740392
15872,75,3771,0.2008887082338333,1.124079942703247
15923,56,2831,0.0051898141391575,1.037750005722046
15923,439,21972,0.003371016588062,0.8779129981994629
15657,13,698,0.0054693166166543,1.5310499668121338
15657,21,1085,0.0217314586043357,1.334991292423382
15151,282,14139,0.0036394004710018,0.9934290051460266
15633,27,1390,0.0017453000182285,1.0497699975967407
15633,35,1757,0.0379567593336105,1.0711499452590942
15633,35,1800,0.0054049310274422,1.1520373389740257
15780,121,6057,0.0731684044003486,0.4800969958305359
15780,121,6100,0.0045856046490371,0.5019479990005493
15894,16,822,0.0060079540126025,0.9260299801826476
15921,17,872,0.0093879997730255,1.6403857762884402
18283,86,4346,0.0041008852422237,1.0397088165563702
15775,11,556,0.003876858158037,0.7395769953727722
15766,32,1640,0.0332855693995952,1.228659987449646
15466,90,4519,0.0040015000849962,1.035640001296997
15466,178,8916,0.5009839534759521,1.4128600358963013
15466,182,9132,0.004787883721292,1.0326800346374512
15910,71,3568,0.0065919253975152,1.0879199504852295
