run_number,subrun_number,event_number,pick_reason,entry_number,mpid__signal_score,resnet18_bn__signal_score,resnet18_gn__signal_score,resnet34_bn__signal_score,resnet34_gn__signal_score,n_pixels,scores_file,root_file,reference_folder,dataset
6797,69,3464,D_busy,3397,4.7450765123358e-05,3.195526403487748e-07,0.0329036638140678,9.524155757389964e-05,0.0527866445481777,5478,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
5092,113,5677,A_high_tail+C_weird_lowpix,452,0.9975531697273254,0.0399463847279548,0.3094581961631775,0.0455656871199607,0.8202998042106628,277,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
7126,66,3315,A_high_tail,1138,0.9972622394561768,0.8121421337127686,0.9869865775108336,0.981590211391449,0.8086745142936707,1214,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
6160,47,2385,A_high_tail,2256,0.9941073656082152,0.0018948004581034,0.011465142481029,0.0197183862328529,0.0623338110744953,946,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
7512,19,973,A_high_tail,2627,0.9814299941062928,0.0279719345271587,0.1022545248270034,0.0105152996256947,0.112617053091526,328,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
6429,94,4716,B_border,3374,0.4995752573013305,0.3151601254940033,0.0148369325324893,0.4764962494373321,0.4182586073875427,666,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
6286,163,8193,B_border+D_busy,2559,0.5035154223442078,0.0069763595238327,0.596744179725647,0.2736002504825592,0.0989004522562027,3319,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
6549,49,2456,B_border+C_weird_lowpix,758,0.5069567561149597,0.2065594643354416,0.3610220849514007,0.1165743246674537,0.1280636638402938,218,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
7017,1127,56379,B_border,2265,0.4929957091808319,0.0074006277136504,0.0143288662657141,0.0397839397192001,0.2340652346611023,1030,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
6360,23,1155,D_busy,3775,0.0001206572414957,0.0028176070190966,0.0291053596884012,0.0053440160118043,0.0058983247727155,3581,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
7444,45,2297,D_busy,3072,0.0002136558032361,8.050562610151246e-05,0.0247965902090072,0.0002308080293005,0.0044524953700602,2774,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
7017,344,17216,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,89,0.9745486974716188,0.0174800101667642,0.0528805628418922,0.1447408646345138,0.004135625436902,2167,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7019,492,24620,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,1750,0.9627593755722046,0.0047903750091791,0.0588949881494045,0.3269041776657104,0.0126678952947258,396,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
6690,6,323,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,2227,0.977053165435791,0.0433999337255954,0.6636176705360413,0.7347532510757446,0.0305085517466068,2728,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
6800,81,4051,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,4856,0.9901424050331116,0.9537912011146544,0.1120235919952392,0.8255693912506104,0.0071992557495832,1455,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
6963,133,6671,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,5259,0.9713886976242064,0.0325422137975692,0.2843608558177948,0.9296206831932068,0.0230188779532909,2169,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
7008,641,32074,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,6287,0.9766696691513062,0.0505869016051292,0.1947223246097564,0.1143283918499946,0.0292631778866052,2232,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
7010,798,39904,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,10340,0.96228688955307,0.0011334387818351,0.0893541127443313,0.0490270927548408,0.0143455229699611,4075,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
7014,1617,80852,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,11591,0.97950279712677,0.1123825907707214,0.0546147264540195,0.0427263006567955,0.0262578353285789,1644,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
6698,132,6608,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,2455,0.9559572339057922,0.012217491865158,0.0159117523580789,0.0274525061249732,0.0090717570856213,1473,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
7487,146,7343,E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,3132,0.971367120742798,0.1617226898670196,0.0122263338416814,0.1066599935293197,0.0157112125307321,594,run1_offbeam_larcv_cropped_full_set_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,mpid,run1_samples
