run_number,subrun_number,event_number,pick_reason,entry_number,mpid__signal_score,resnet18_bn__signal_score,resnet18_gn__signal_score,resnet34_bn__signal_score,resnet34_gn__signal_score,n_pixels,scores_file,root_file,reference_folder,dataset
17206,541,27071,A_low_tail,9040,0.0005976207321509,1.1370394531695638e-05,0.0067450343631207,3.449120413279161e-05,0.0022704438306391,445,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17195,162,8149,A_low_tail,1031,0.0010293007362633,6.488240160251735e-06,0.0064616715535521,6.536034197779372e-05,0.0043048374354839,2060,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17226,172,8636,A_low_tail,8911,0.0012333738850429,0.0017789511475712,0.0130415372550487,0.0022741733118891,0.0077153821475803,1639,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17306,31,1592,A_low_tail+C_weird_lowpix,38,0.0012551526306197,0.0027586596552282,0.0083711743354797,0.0149690061807632,0.003379137488082,370,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17111,125,6261,A_low_tail+D_busy,2124,0.0015339704696089,0.0043274648487567,0.0298939682543277,0.005509446375072,0.0042816731147468,4175,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17280,30,1504,A_low_tail,1339,0.0016373378457501,8.405189146287739e-05,0.0189776699990034,0.0002083968865917,0.0066482196561992,641,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17237,402,20123,A_low_tail,6181,0.0016696808161213,0.0023895578924566,0.0061228857375681,0.0053500849753618,0.0132224904373288,625,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17226,146,7322,A_low_tail,3508,0.0017332043498754,0.0015426119789481,0.0992089882493019,0.6120526194572449,0.012603118084371,2558,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17324,55,2787,A_low_tail,5991,0.0017500733956694,0.0009006667532958,0.0148694114759564,0.0013231736375018,0.0075174653902649,1680,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17228,49,2482,A_low_tail,8559,0.0017693940317258,0.000414444861235,0.0115701304748654,0.0007498014601878,0.0031804346945136,1314,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
