run_number,subrun_number,event_number,pick_reason,entry_number,mpid__signal_score,resnet18_bn__signal_score,resnet18_gn__signal_score,resnet34_bn__signal_score,resnet34_gn__signal_score,n_pixels,scores_file,root_file,reference_folder,dataset
5536,34,1744,B_border,719,0.4980863630771637,0.8886188268661499,0.99659663438797,0.9785993099212646,0.9908505082130432,2750,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5382,86,4347,B_border,682,0.4977865815162658,0.5184681415557861,0.9909467697143556,0.9980606436729432,0.9516987800598145,1638,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5535,17,871,B_border,502,0.5022374391555786,0.5313525199890137,0.4890224635601043,0.7798177003860474,0.6461801528930664,1174,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5377,40,2005,B_border,2972,0.4977258741855621,0.0276097822934389,0.05598895996809,0.0943630933761596,0.2444454431533813,858,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5541,19,969,D_busy,632,0.9999151229858398,0.9993317723274232,0.9998394250869752,0.9999141693115234,0.9996469020843506,3090,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5382,124,6215,D_busy,1116,0.9999116659164428,0.9983117580413818,0.999710977077484,0.9998514652252196,0.9983238577842712,3594,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5370,128,6449,D_busy,2438,0.9998196959495544,0.9999620914459229,0.9995848536491394,0.9999974966049194,0.9987247586250304,3087,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5411,170,8541,D_busy,1610,0.9998067021369934,0.934604287147522,0.9996094107627868,0.9227526783943176,0.9924027919769288,4895,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5573,35,1762,D_busy,392,0.9997981190681458,0.6265711784362793,0.9969252943992616,0.8027805685997009,0.996733546257019,3537,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5382,28,1447,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,848,0.9452362656593324,0.0116876550018787,0.0295014157891273,0.1806450486183166,0.0478957556188106,2207,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5536,42,2108,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_other_gt_ref,1493,0.0637931823730468,0.4764579832553863,0.0764877647161483,0.9682189226150512,0.9804946184158324,2345,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5386,45,2264,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_other_gt_ref,1952,0.0125699657946825,0.0064039789140224,0.1506805568933487,0.1439946293830871,0.9432788491249084,3067,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5371,40,2029,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,2383,0.9725473523139954,0.0154666313901543,0.6823477149009705,0.4884991347789764,0.0422380976378917,2980,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5561,95,4756,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,2502,0.9710726141929626,0.0755897462368011,0.320244163274765,0.6904613971710205,0.0670708939433097,3190,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5532,23,1166,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_other_gt_ref,2550,0.0366260930895805,0.1008269935846328,0.9977868795394896,0.9484686851501464,0.9907221794128418,3220,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5382,200,10021,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_other_gt_ref,3117,0.0682524442672729,0.2123058885335922,0.6490532755851746,0.4540398120880127,0.9557501077651978,3402,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5535,1,79,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_other_gt_ref,3662,0.029423190280795,0.0031587444245815,0.9123785495758056,0.90556663274765,0.9221035242080688,4732,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5541,21,1097,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_other_gt_ref,4034,0.0084302267059683,0.0069881794042885,0.9124776721000672,0.0103798806667327,0.9407612085342408,2320,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
5512,84,4224,E_disagree+E_vs_run1_signal_resnet34_gn+E_strong_flip_m0.2+E_other_gt_ref,4128,0.0669037699699401,0.0316262133419513,0.9262891411781312,0.6410839557647705,0.9541438221931458,2882,run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_signal/run1_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run1_signal
