run_number,subrun_number,event_number
6439,81,4063
6687,235,11795
6546,44,2224
6599,85,4294
6675,6,322
6467,97,4854
6467,98,4940
6404,189,9499
6683,54,2714
6683,62,3139
6448,25,1260
6448,25,1270
6467,130,6550
6692,119,5991
6676,17,867
6676,17,890
6420,52,2642
6571,58,2934
6173,140,7010
6520,37,1891
6457,133,6693
6457,139,6990
6444,25,1284
6444,28,1426
6639,51,2569
6600,50,2522
6577,106,5314
6367,36,1842
6690,65,3294
6690,72,3618
6605,46,2303
6605,46,2329
6599,46,2335
6425,104,5201
6672,67,3398
6356,112,5624
6356,120,6011
6653,139,6962
6594,110,5518
6336,61,3098
6431,66,3329
6431,73,3655
6431,74,3711
6653,61,3051
6653,64,3210
6653,66,3302
6533,103,5180
6533,132,6629
6339,39,1954
6427,52,2617
6671,120,6023
6686,13,652
6666,185,9264
6425,42,2120
6425,44,2218
6406,53,2698
6507,95,4783
6507,100,5046
6313,14,728
6480,64,3207
6533,30,1501
6440,117,5851
6440,120,6021
6388,5,266
6680,34,1732
6371,31,1590
6483,61,3072
6748,215,10774
6479,26,1345
6479,34,1712
6379,73,3659
6565,41,2070
6689,70,3536
6689,71,3580
6689,72,3643
6426,179,8995
6426,180,9046
6441,124,6218
6697,126,6324
6697,134,6705
6589,105,5300
6589,106,5314
6690,31,1554
6690,31,1584
6690,33,1687
6690,34,1718
6631,108,5413
6380,124,6225
6380,124,6245
6380,125,6258
6688,1,85
6341,134,6720
6521,59,2951
6377,23,1180
6377,24,1212
6377,28,1413
6572,159,7999
6423,148,7421
6440,195,9754
6572,212,10606
6572,212,10611
6547,45,2251
6535,200,10012
6693,11,565
6387,17,892
6387,18,916
6375,5,255
6502,47,2398
6502,50,2532
6173,128,6449
6583,162,8118
6664,145,7279
6507,47,2385
6448,110,5541
6549,144,7246
6547,4,207
6614,84,4231
6614,86,4343
6664,135,6778
6664,137,6885
6489,141,7090
6427,42,2118
6427,61,3067
6588,15,776
6666,175,8769
6666,177,8877
6353,101,5058
6608,42,2116
6608,43,2160
6608,43,2180
6690,41,2091
6340,169,8486
6549,137,6895
6467,62,3145
6697,22,1123
6697,35,1782
6687,244,12220
6668,70,3537
6616,165,8270
6616,171,8584
6412,146,7330
6448,123,6170
6448,148,7423
6649,14,735
6668,50,2507
6668,64,3231
6668,66,3307
6497,56,2806
6497,56,2815
6663,191,9591
6600,111,5595
6600,113,5652
6600,114,5720
6407,160,8023
6353,41,2051
6353,70,3544
6565,132,6633
6565,132,6645
6565,134,6733
6565,139,6956
6565,141,7051
6632,36,1803
6748,38,1933
6461,94,4742
6600,56,2818
6506,187,9387
6689,44,2211
6544,344,17214
6544,344,17223
6544,345,17257
6647,191,9559
6615,146,7346
6690,93,4674
6533,80,4047
6533,84,4220
6533,87,4369
6611,133,6665
6551,17,857
6551,22,1115
6444,113,5687
6340,130,6502
6340,134,6711
6669,29,1479
6689,83,4171
6689,19,965
6332,103,5166
6332,111,5568
6333,31,1584
6551,178,8906
6551,180,9013
6551,182,9147
6553,144,7222
6592,32,1603
6410,62,3109
6440,96,4802
6417,107,5369
6417,108,5427
6347,179,8984
6423,170,8536
6423,179,8984
6571,105,5278
6572,15,772
6572,17,857
