run_number,subrun_number,event_number
6827,185,9293
7648,39,1967
7648,45,2278
7126,22,1121
6083,42,2140
6960,59,2976
7001,1102,55131
5456,27,1386
5068,66,3346
7627,121,6100
7004,511,25570
5139,100,5035
5139,102,5128
7526,20,1038
6052,104,5236
6052,108,5407
7085,31,1564
6226,144,7226
6801,69,3459
6332,44,2231
6692,50,2537
7699,67,3392
5452,27,1364
7430,14,743
5614,27,1383
6939,53,2663
6939,55,2782
6922,152,7649
7105,2,133
7019,498,24923
7767,4,225
7491,20,1023
6211,5,294
6989,58,2923
6683,191,9599
7400,27,1375
6922,106,5304
5171,67,3400
7025,487,24365
6811,94,4720
7006,21,1057
5092,113,5677
6921,5,274
7017,330,16536
7352,23,1190
6622,28,1411
5423,4,224
6442,1,93
7008,131,6569
6487,69,3451
6457,143,7181
6457,145,7282
5581,1,91
6162,121,6070
7412,0,35
7412,2,136
5208,141,7095
5474,9,494
5894,96,4830
5605,83,4169
5605,86,4343
6027,87,4358
5474,41,2091
7587,8,416
7139,8,430
7139,8,446
6622,31,1571
7108,69,3480
7014,1531,76575
6768,96,4824
5333,86,4306
6980,48,2445
6301,0,15
5611,64,3214
5611,68,3409
7378,101,5096
7054,193,9689
5445,32,1639
6664,139,6987
7498,84,4249
6916,8,415
6535,21,1085
7054,239,11996
7503,17,883
7355,17,871
6535,75,3775
7739,3,188
6483,104,5237
6347,12,631
6953,130,6534
6830,42,2137
6553,87,4396
5566,2,105
6915,155,7799
6831,176,8819
6583,143,7161
7006,123,6151
5528,37,1859
6827,52,2615
6827,57,2871
5947,113,5700
5947,122,6128
5616,175,8756
5961,84,4218
7023,326,16324
7023,331,16570
5328,14,748
7290,42,2122
7560,50,2542
7560,96,4820
6592,128,6402
6608,60,3025
7704,30,1501
7020,305,15275
5068,96,4813
7327,121,6075
6441,113,5659
7010,837,41891
6671,43,2156
7742,250,12544
6981,24,1211
7408,17,856
6824,113,5681
6967,28,1421
6625,23,1190
5512,104,5211
7588,130,6531
5151,106,5303
7008,574,28716
6072,15,760
7712,31,1564
6970,46,2309
6801,11,590
5024,3,170
5437,193,9653
5573,97,4889
7004,285,14274
6577,78,3920
5135,1,80
5499,18,903
5541,107,5356
5541,109,5481
5237,13,684
6374,24,1245
4982,96,4841
5630,11,599
7444,6,318
7588,178,8916
6425,160,8001
6923,124,6206
6310,0,29
7403,67,3381
5013,189,9465
5046,29,1455
6301,90,4506
7557,144,7241
7625,83,4159
7285,37,1872
5386,164,8209
6647,86,4344
7749,2,132
6850,47,2353
7055,725,36297
5553,4,223
7001,42,2134
5524,9,466
5586,93,4676
6913,35,1775
7054,1463,73186
7372,124,6215
5601,9,464
5459,36,1830
7710,35,1762
7710,41,2068
7400,12,615
6529,35,1758
7020,1074,53705
7020,1203,60161
5512,110,5510
5512,113,5679
6544,130,6533
5771,31,1553
7004,491,24555
5044,61,3059
6647,2,110
5328,85,4257
5328,85,4267
7108,61,3086
6527,212,10629
5084,56,2806
5370,29,1493
7006,602,30143
5179,186,9338
5500,18,941
7378,79,3980
7049,1456,72829
7049,1459,72977
6840,30,1535
6840,31,1574
6840,37,1893
7144,40,2021
5353,25,1291
7295,40,2043
5361,106,5313
5519,145,7299
7020,1037,51868
6949,27,1379
7046,3,165
7012,578,28945
7757,11,576
6684,18,936
6371,58,2918
5459,166,8333
7459,17,851
7003,778,38924
4998,134,6714
6668,23,1160
6960,118,5932
5155,96,4826
6206,99,4978
7699,15,758
4986,69,3498
5203,15,782
6562,14,701
7644,180,9039
7054,1066,53337
5341,181,9054
7010,1418,70927
7115,30,1512
6380,119,5964
7046,15,778
5093,57,2874
6955,179,8990
5387,5,285
7054,78,3937
5593,59,2997
5567,13,674
7688,14,720
6483,44,2238
5437,122,6121
7627,9,466
5605,21,1090
5605,25,1280
6542,21,1072
5005,104,5246
6971,18,939
7474,162,8128
6782,38,1950
6782,42,2109
6689,32,1619
6837,25,1299
7573,0,13
5541,121,6092
7492,48,2450
7144,63,3182
7407,41,2089
7003,1068,53415
7352,67,3375
7021,507,25384
5169,77,3880
7127,3,162
6901,210,10505
5331,173,8673
7020,77,3874
6913,26,1304
6859,126,6308
7457,258,12935
6690,35,1754
5074,2,118
6967,46,2330
6967,49,2451
6166,37,1860
6647,33,1664
5474,75,3792
6352,33,1670
6220,48,2420
7051,54,2740
