run_number,subrun_number,event_number,signal_score,weight
17195,25,1281,0.2464167922735214,0.7130512622981939
17195,185,9293,0.0014461342943832,1.0419199466705322
17229,11,573,0.0008931664051488,1.0200300216674805
14991,32,1607,0.0552949458360672,0.9221619963645936
14991,190,9544,0.1204667687416076,1.0887900590896606
14991,214,10742,0.0013880922924727,1.076909720659117
15147,106,5304,0.1039119064807891,0.5434849858283997
17556,67,3358,0.0086425021290779,0.6578710079193115
17556,90,4517,0.0088963862508535,1.0164799690246582
14938,43,2200,0.3055962026119232,0.8801289796829224
14938,218,10933,0.2818198800086975,0.9108200073242188
17194,34,1717,0.2771084606647491,1.0374699831008911
17144,36,1812,0.0247560199350118,1.0190099477767944
17144,175,8770,0.042119313031435,0.7806469798088074
17281,9,495,0.0146458214148879,1.4733799695968628
15099,155,7766,0.0297987647354602,1.044039964675903
15222,43,2167,0.0617240332067012,1.3046900033950806
15222,43,2186,0.1947946697473526,1.0
17164,115,5780,0.9537246227264404,5.930886045919651e-06
17164,120,6007,0.8709134459495544,0.6065506967821648
17164,132,6607,0.713515043258667,1.0210100412368774
17267,53,2688,0.1025530993938446,1.0314199924468994
17132,362,18108,0.0046803429722785,1.0223300457000732
17520,6,315,0.0234381053596735,1.1316499710083008
17239,218,10903,0.0080672018229961,0.998328983783722
17239,301,15053,0.0070564374327659,1.2079888535101304
17389,106,5339,0.0648073256015777,1.0435400009155271
17389,113,5684,0.0042003686539828,0.7601019740104675
15128,45,2292,0.9748851656913756,1.0215200185775757
17093,54,2745,0.0076836724765598,0.7541990280151367
17534,115,5767,0.0058510839007794,1.0485399961471558
17534,115,5779,0.030047858133912,0.07848503825230588
15116,81,4062,0.0391722172498703,1.041540026664734
15116,81,4064,0.7623353600502014,1.0174700021743774
15116,201,10097,0.0076922103762626,0.8129966981186953
17451,163,8191,0.1028611287474632,0.9829649925231934
17451,227,11365,0.0048615518026053,0.58788001537323
15156,23,1158,0.0228043626993894,0.6651260256767273
15156,26,1314,0.0086849797517061,0.6281309723854065
17407,95,4758,0.1018038690090179,0.5562729835510254
15174,102,5132,0.0027715547475963,1.0713599920272827
17494,26,1337,0.3605412542819977,0.9692829847335817
17361,142,7114,0.0101719666272401,1.034809947013855
17361,234,11701,0.2473053336143493,0.752498984336853
17383,548,27416,0.0001960267109097,0.8892509937286377
17185,21,1085,0.3267559707164764,1.0404599905014038
15136,106,5306,0.0061257239431142,0.9314280152320862
15122,37,1857,0.0347140319645404,1.2093743271695556
17116,1,65,0.7920625805854797,1.0874600410461426
17116,1,98,0.0046418677084147,0.4548540115356445
17116,77,3862,0.1846553981304168,0.990106999874115
17116,122,6125,0.5900940299034119,1.049100041389465
17116,122,6137,0.0129353934898972,0.5202479958534241
17195,6,331,0.0053291381336748,0.5975649952888489
17336,40,2001,0.1763911098241806,0.989877998828888
17336,43,2174,0.0900303572416305,1.269936891412158
17415,223,11194,0.0034048832021653,0.7938650250434875
17415,288,14403,0.1770519167184829,1.070033126808056
15140,207,10400,0.0007046913378871,1.0756200551986694
17126,19,967,0.0010043220827355,1.045590043067932
17075,44,2205,0.0597532726824283,1.0598000288009644
17075,143,7190,0.1484522968530655,1.0016000270843506
17210,214,10713,0.006397295743227,1.236989974975586
17088,4,227,0.0264607928693294,0.4595009982585907
17088,11,592,0.0518921948969364,1.0719599723815918
17281,6,332,0.0378933027386665,1.6110600233078003
17281,44,2243,0.2383895814418792,0.9681249856948853
17168,10,543,0.0824630185961723,1.2166435916434892
17122,149,7460,0.0141444979235529,1.0015000104904177
