run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
6064,30,1523,0.9846400022506714,0.0,696.0
6064,31,1579,0.9972153902053833,1.0,1315.0
6064,32,1646,0.8971021771430969,2.0,1033.0
6064,33,1693,0.9493266344070435,3.0,1213.0
6064,34,1711,0.9972737431526184,4.0,1189.0
6064,34,1725,0.49115538597106934,5.0,2907.0
6064,35,1759,0.6220466494560242,6.0,2482.0
6064,35,1783,0.9916225075721741,7.0,2220.0
6064,37,1882,0.6609624624252319,8.0,855.0
6064,38,1907,0.9987859129905701,9.0,2721.0
6064,38,1927,0.828931450843811,10.0,1902.0
6064,38,1943,0.9774768948554993,11.0,2861.0
6064,39,1995,0.9916839599609375,12.0,1980.0
6100,85,4264,0.14365781843662262,13.0,448.0
6100,86,4309,0.9956022500991821,14.0,1992.0
6100,174,8715,0.8113229870796204,15.0,2155.0
6100,174,8731,0.8890469670295715,16.0,2261.0
6075,26,1303,0.99078768491745,17.0,2261.0
6075,26,1321,0.4755346477031708,18.0,1421.0
6075,26,1347,0.9429270625114441,19.0,1904.0
6075,27,1354,0.9831816554069519,20.0,3388.0
6075,28,1440,0.9486759305000305,21.0,2285.0
6075,28,1446,0.7342031598091125,22.0,2611.0
6075,29,1461,0.9886733889579773,23.0,1633.0
6075,30,1505,0.6939409375190735,24.0,1423.0
6075,30,1542,0.6796706914901733,25.0,1731.0
6075,31,1594,0.984010636806488,26.0,2195.0
6075,32,1628,0.3115815222263336,27.0,1783.0
6075,33,1665,0.6361842155456543,28.0,2860.0
6075,33,1670,0.8936076760292053,29.0,1097.0
6075,34,1725,0.9866105914115906,30.0,2263.0
6092,74,3710,0.9599717855453491,31.0,919.0
6092,76,3808,0.994492769241333,32.0,2478.0
6092,77,3863,0.9578163027763367,33.0,2693.0
6092,79,3966,0.7231375575065613,34.0,1501.0
6092,81,4078,0.9957844614982605,35.0,1606.0
6092,81,4083,0.9991242289543152,36.0,2421.0
6092,81,4097,0.27525070309638977,37.0,3138.0
6092,81,4100,0.9942633509635925,38.0,3639.0
6092,82,4111,0.9805915951728821,39.0,1909.0
6092,83,4184,0.02514019049704075,40.0,2243.0
6092,85,4271,0.999028205871582,41.0,2844.0
6092,86,4301,0.9942672848701477,42.0,1797.0
6092,86,4309,0.029277348890900612,43.0,2939.0
6092,86,4327,0.9985394477844238,44.0,1769.0
6076,45,2251,0.9991105198860168,45.0,2774.0
6076,119,5986,0.9935046434402466,46.0,2967.0
6076,119,5988,0.9876492619514465,47.0,3221.0
6076,121,6062,0.9563875198364258,48.0,790.0
6076,121,6078,0.9974470138549805,49.0,2479.0
6076,121,6098,0.08300238102674484,50.0,3323.0
6076,121,6100,0.9984094500541687,51.0,3019.0
6076,160,8028,0.9954055547714233,52.0,2167.0
6055,13,696,0.9934640526771545,53.0,1237.0
6083,13,658,0.9799726605415344,54.0,2516.0
6083,42,2108,0.9965496063232422,55.0,1593.0
6083,42,2118,0.8296636343002319,56.0,1400.0
6083,42,2128,0.9785261154174805,57.0,2284.0
6083,46,2332,0.99014812707901,58.0,3807.0
6100,114,5724,0.9737802743911743,59.0,1992.0
6100,114,5735,0.03522208333015442,60.0,477.0
6100,115,5784,0.019865913316607475,61.0,525.0
6078,70,3522,0.049622539430856705,62.0,499.0
6078,72,3630,0.9949835538864136,63.0,2206.0
6078,72,3643,0.9842494130134583,64.0,2015.0
6080,125,6262,0.6386570334434509,65.0,831.0
6080,126,6303,0.9676446318626404,66.0,1905.0
6080,126,6349,0.242746040225029,67.0,922.0
6080,129,6485,0.1748053878545761,68.0,1699.0
6080,130,6502,0.8128476142883301,69.0,2781.0
6080,130,6512,0.9874632358551025,70.0,2765.0
6080,130,6532,0.035044293850660324,71.0,6030.0
6080,131,6600,0.2080264389514923,72.0,1969.0
6080,132,6602,0.18772873282432556,73.0,2882.0
6080,132,6621,0.211482435464859,74.0,2294.0
6080,132,6630,0.9915177226066589,75.0,2725.0
6080,132,6636,0.01712307520210743,76.0,115.0
6080,136,6839,0.85727858543396,77.0,2013.0
6100,170,8514,0.8972563743591309,78.0,1391.0
6083,30,1505,0.4176969528198242,79.0,1033.0
6083,30,1513,0.9753578305244446,80.0,2536.0
6083,30,1534,0.9996656179428101,81.0,3028.0
6083,32,1605,0.3336176574230194,82.0,1137.0
6083,32,1614,0.9992639422416687,83.0,3954.0
6083,32,1618,0.9994878768920898,84.0,1010.0
6083,32,1636,0.04983136057853699,85.0,8.0
6083,33,1653,0.8101882934570312,86.0,2770.0
6083,33,1694,0.9206429719924927,87.0,2504.0
6083,37,1872,0.04328908026218414,88.0,2930.0
6083,37,1896,0.9682149887084961,89.0,707.0
6083,47,2382,0.9943897128105164,90.0,3184.0
6059,49,2497,0.9990851879119873,91.0,2209.0
6059,50,2528,0.9984625577926636,92.0,1962.0
6059,51,2590,0.7452903389930725,93.0,1454.0
6059,51,2596,0.4617341160774231,94.0,604.0
6059,52,2613,0.7292749881744385,95.0,3920.0
6059,52,2643,0.8383619785308838,96.0,2067.0
6059,53,2697,0.9974532723426819,97.0,2691.0
6059,74,3730,0.9922295212745667,98.0,1666.0
6059,75,3757,0.9985156655311584,99.0,938.0
6059,77,3863,0.8284222483634949,100.0,1103.0
6059,78,3913,0.9592784643173218,101.0,2235.0
6059,78,3917,0.011437732726335526,102.0,629.0
6059,78,3932,0.9997053742408752,103.0,2551.0
6092,23,1177,0.9691919088363647,104.0,2348.0
6092,23,1196,0.14916473627090454,105.0,1007.0
6092,140,7006,0.9975013136863708,106.0,2570.0
6092,140,7022,0.9974865913391113,107.0,1498.0
6092,144,7208,0.7763630747795105,108.0,1318.0
6092,144,7218,0.9890968799591064,109.0,2142.0
6092,144,7235,0.32747504115104675,110.0,441.0
6092,144,7247,0.1489311158657074,111.0,1208.0
6092,144,7249,0.995053768157959,112.0,2090.0
6092,145,7289,0.5538685917854309,113.0,3659.0
6092,148,7422,0.7683265805244446,114.0,2315.0
6092,148,7431,0.9410631656646729,115.0,2166.0
6092,149,7491,0.8095611333847046,116.0,917.0
6092,149,7492,0.9782117605209351,117.0,3379.0
6092,87,4374,0.9888579845428467,118.0,3131.0
6092,89,4459,0.8571568727493286,119.0,1562.0
6092,89,4495,0.12146523594856262,120.0,1637.0
6092,107,5371,0.9746962189674377,121.0,3671.0
6092,110,5522,0.9992037415504456,122.0,1722.0
6092,112,5605,0.7255211472511292,123.0,3058.0
6092,112,5607,0.9986485838890076,124.0,2371.0
6092,113,5685,0.9505589008331299,125.0,1047.0
6092,113,5688,0.016792472451925278,126.0,1478.0
6091,95,4787,0.9858733415603638,127.0,2160.0
6091,103,5152,0.8396154642105103,128.0,1744.0
6091,105,5256,0.5168067812919617,129.0,718.0
6091,107,5389,0.7304248213768005,130.0,6133.0
6091,107,5392,0.8421276807785034,131.0,1389.0
6073,11,597,0.9964210987091064,132.0,1324.0
6073,12,622,0.006125056650489569,133.0,1830.0
6073,14,727,0.9804421067237854,134.0,4706.0
6073,14,728,0.3720383048057556,135.0,3113.0
6073,16,806,0.01902327686548233,136.0,1905.0
6073,19,978,0.9965341091156006,137.0,1808.0
6073,20,1049,0.994441568851471,138.0,1356.0
6076,80,4029,0.9983779191970825,139.0,4198.0
6076,83,4161,0.9949306845664978,140.0,1726.0
6076,86,4314,0.08907998353242874,141.0,2501.0
6076,86,4325,0.7565594911575317,142.0,2104.0
6076,86,4347,0.998468816280365,143.0,3139.0
6076,87,4392,0.5037022233009338,144.0,2855.0
6076,92,4613,0.9961827397346497,145.0,1150.0
6076,92,4632,0.995864987373352,146.0,3101.0
6076,92,4641,0.9795306921005249,147.0,2254.0
6076,92,4646,0.5596231818199158,148.0,692.0
6072,20,1041,0.7657116055488586,149.0,2997.0
6072,20,1049,0.900168776512146,150.0,955.0
6064,0,28,0.9778494834899902,151.0,806.0
6064,1,66,0.977937638759613,152.0,751.0
6064,2,111,0.9947808384895325,153.0,2902.0
6064,2,130,0.48235073685646057,154.0,2698.0
6064,4,210,0.6768600344657898,155.0,1812.0
6064,4,221,0.17242713272571564,156.0,4708.0
6064,5,283,0.4262399673461914,157.0,558.0
6064,6,322,0.9490990042686462,158.0,4503.0
6064,7,352,0.9912933707237244,159.0,3587.0
6064,7,355,0.944271981716156,160.0,3130.0
6064,7,400,0.9577837586402893,161.0,2939.0
6064,8,402,0.9160686135292053,162.0,2720.0
6064,8,438,0.8645660877227783,163.0,2576.0
6064,9,489,0.9801895022392273,164.0,1650.0
6076,30,1516,0.8544434309005737,165.0,3285.0
6076,30,1542,0.9448022246360779,166.0,697.0
6076,42,2104,0.045044150203466415,167.0,951.0
6076,42,2119,0.25095152854919434,168.0,3016.0
6076,47,2354,0.23148149251937866,169.0,1761.0
6076,47,2360,0.9146566390991211,170.0,1425.0
6076,47,2379,0.985923171043396,171.0,3496.0
6076,47,2380,0.4999934434890747,172.0,2409.0
6076,63,3176,0.004472333937883377,173.0,675.0
6076,63,3195,0.9980699419975281,174.0,1550.0
6076,156,7831,0.9849221110343933,175.0,3375.0
6076,156,7848,0.9896484017372131,176.0,3493.0
6076,158,7901,0.20684660971164703,177.0,3551.0
